,property_id,county,state,prop_type,2020_avg,2019_avg,2020_01_avg,2020_02_avg,2020_03_avg,2020_04_avg,2020_05_avg,2020_06_avg,2020_07_avg,2020_08_avg,2020_09_avg,2020_10_avg,2020_11_avg,2020_12_avg
20,O1519498036,Los Angeles,California,multi_family,298.18,77.56,298.18,298.18,298.18,298.18,298.18,298.18,298.18,298.18,298.18,294.73,294.73,294.73
21,O1542303659,Los Angeles,California,multi_family,342.18,342.18,342.18,342.18,342.18,342.18,342.18,342.18,342.18,342.18,342.18,336.96,336.96,336.96
22,O1584208862,Los Angeles,California,single_family,376.47,413.06,376.47,376.47,376.47,376.47,376.47,376.47,376.47,376.47,385.88,385.88,385.88,385.88
23,O1588114786,Los Angeles,California,condo,860.14,359.70,860.14,860.14,860.14,860.14,860.14,860.14,860.14,860.14,832.96,805.28,777.78,777.78
24,O1589582768,Los Angeles,California,multi_family,252.15,85.00,252.15,252.15,252.15,252.15,252.15,252.15,252.15,252.15,252.15,252.15,252.15,229.88
25,O1589639448,Los Angeles,California,multi_family,318.01,299.06,318.01,318.01,318.01,318.01,318.01,318.01,307.76,307.76,297.55,282.08,282.08,282.08
26,O1589667360,Los Angeles,California,single_family,681.95,167.55,681.95,681.95,681.95,681.95,681.95,681.95,681.95,681.95,681.95,681.95,723.10,723.10
27,O1618764020,Los Angeles,California,condo,712.53,662.29,712.53,712.53,712.53,712.53,712.53,712.53,712.53,712.53,703.78,703.78,698.53,698.53
28,O1625345754,Los Angeles,California,condo,452.70,352.02,452.70,452.70,452.70,452.70,452.70,452.70,452.70,452.70,452.70,449.32,449.32,449.32
29,O1634632831,Los Angeles,California,single_family,472.13,472.13,472.13,472.13,472.13,472.13,472.13,472.13,472.13,472.13,472.13,472.13,475.35,475.35
30,O1652159197,Los Angeles,California,single_family,333.27,310.84,333.27,333.27,333.27,333.27,333.27,333.27,333.27,333.27,333.27,318.18,318.18,318.18
